          (   8,    6) (   9,    7) (   8,    8) (   9,    7) (   8,    7) (   7,    7) (   9,    8) (   9,    8) (   7,    9) (   7,    9)
          (   8,    7) (   8,    7) (  10,    5) (   8,    6) (   9,    6) (   9,    8) (   8,    7) (   5,    5) (   8,    7) (   9,    5)
          (   9,    8) (   9,    5) (   9,    7) (   9,    7) (   9,    6) (   7,    8) (   7,    6) (   5,    7) (   8,    8) (   7,    6)
          (   8,    6) (   9,    5) (   9,    8) (   9,    7) (   8,    5) (   9,    6) (   8,    8) (   8,    6) (   8,    5) (   8,    7)
          (   7,    7) (   8,    8) (   6,    6) (   8,    8) (   8,    8) (   9,    7) (   8,    8) (   7,    8) (   8,    7) (   8,    7)
          (   8,    7) (   8,    5) (   7,    8) (   8,    7) (   9,    7) (   9,    5) (   9,    7) (   6,    7) (   9,    6) (   8,    6)
          (   8,    5) (   8,    6) (   7,    6) (   7,    6) (   6,    8) (   7,    7) (   7,    8) (   8,    9) (   8,    7) (   7,    7)
          (   7,    7) (   7,    6) (   7,    7) (   8,    8) (   7,    9) (   7,    9) (   7,    7) (   7,    5) (   7,    8) (   8,    8)
          (   6,    7) (   7,    8) (   6,    5) (   8,    7) (   6,    5) (   8,    9) (   8,    9) (   8,    6) (   7,    9) (   8,    8)
          (   8,    6) (   7,    7) (   8,    5) (   6,    6) (   9,    7) (   8,    8) (   7,    7) (   8,    5) (   7,    9) (   6,    7)
          (   8,    9) (   7,    6) (   8,    8) (   8,    8) (   8,    6) (   7,    5) (   8,    7) (   8,    8) (   8,    7) (   8,    7)
          (   7,    6) (   8,    7) (   7,    9) (   7,    7) (   6,    6) (   7,    8) (   7,    5) (   6,    8) (   6,    8) (   8,    8)
          (   7,    8) (   8,    8) (   7,    6) (   8,    9) (   8,    9) (   8,    8) (   7,    6) (   7,    7) (   6,    8) (   7,    9)
          (   5,    8) (   7,    6) (   8,    8) (   8,    8) (   6,    7) (   8,    7) (   8,    8) (   8,    9) (   7,    6) (   8,    7)
          (   8,    8) (   7,    7) (   7,    8) (   7,    6) (   7,    6) (   6,    6) (   6,    7) (   7,    4) (   7,    6) (   7,    8)
